Nº;Fecha;Curso;Tipo;Subtipo;Días;Horas totales;Hora inicio;Zona;Instalación;Monitor/a;Precio socio €;Precio no socio €;Plazas totales;Plazas libres;Alistados totales;Alistados socios;Alistados no socios;% Ocupación;Temporada;Día semana;Franja
123;2024-05-11;Curso Patinaje en Cuestas Básico;Cuestas;Básico;2;3.0;10:00;Juan Carlos I;Parking Auditorium;Vanesa;28,0;34,0;10;5;5;5;0;50,0;2023-24;Sábado;Mañana
124;2024-05-11;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;12:40;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Olmo;32,0;32,0;10;0;10;0;10;100,0;2023-24;Sábado;Mañana
125;2024-05-11;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;11:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Olmo;32,0;32,0;12;7;5;0;5;41,7;2023-24;Sábado;Mañana
126;2024-05-11;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;10:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Olmo;42,0;42,0;12;4;8;0;8;66,7;2023-24;Sábado;Mañana
127;2024-05-11;Curso Patinaje Básico 2 Niños;Niños Básico 2;;3;3.0;11:30;Retiro;Curva Rosaleda;Marta Aguila;32,0;32,0;12;12;0;0;0;0,0;2023-24;Sábado;Mañana
128;2024-05-11;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;10:00;Retiro;Curva Rosaleda;Marta Aguila;42,0;42,0;10;2;8;0;8;80,0;2023-24;Sábado;Mañana
129;2024-05-12;Curso Patinaje Básico 2 Niños;Niños Básico 2;;3;3.0;11:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;Susana;32,0;32,0;12;3;9;0;9;75,0;2023-24;Domingo;Mañana
130;2024-05-12;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;10:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Susana;42,0;42,0;10;6;4;0;4;40,0;2023-24;Domingo;Mañana
131;2024-05-12;Curso Rollerdance Iniciación;Rollerdance;Iniciación;1;2.0;19:00;Retiro;Instalación Deportiva Retiro-Poeta;Elena;22,0;28,0;16;15;1;1;0;6,2;2023-24;Domingo;Tarde
132;2024-05-12;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;12:40;Retiro;Curva Rosaleda;David Rivas;32,0;32,0;12;5;7;0;7;58,3;2023-24;Domingo;Mañana
133;2024-05-12;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;11:30;Retiro;Curva Rosaleda;David Rivas;32,0;32,0;10;4;6;0;6;60,0;2023-24;Domingo;Mañana
134;2024-05-12;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;10:00;Retiro;Curva Rosaleda;David Rivas;42,0;42,0;10;4;6;0;6;60,0;2023-24;Domingo;Mañana
135;2024-05-19;Curso Urbano Patinaje Medio;Urbano;Medio;1;2.0;10:00;Palacio Real;Plaza De Oriente;Iciar;22,0;28,0;10;4;6;5;1;60,0;2023-24;Domingo;Mañana
136;2024-05-25;Curso Urbano Patinaje Básico;Urbano;Básico;1;2.0;10:00;Juan Carlos I;Parking Auditorium;Vanesa;22,0;28,0;10;4;6;6;0;60,0;2023-24;Sábado;Mañana
137;2024-05-31;Curso Rollerdance Iniciación;Rollerdance;Iniciación;1;2.0;18:40;San Sebastián de los Reyes;Pista Patinaje Dehesa;Elena;22,0;28,0;16;16;0;0;0;0,0;2023-24;Viernes;Tarde
138;2024-06-01;Curso Patinaje Básico 2 Niños;Niños Básico 2;;3;3.0;12:40;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Olmo13-Irene2;32,0;32,0;12;11;1;0;1;8,3;2023-24;Sábado;Mañana
139;2024-06-01;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;11:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;David O13-Irene R2;32,0;32,0;12;3;9;0;9;75,0;2023-24;Sábado;Mañana
140;2024-06-01;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;11:30;Retiro;Curva Rosaleda;Marta Águila;32,0;32,0;10;3;7;0;7;70,0;2023-24;Sábado;Mañana
141;2024-06-01;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;10:00;Retiro;Curva Rosaleda;Marta Águila;42,0;42,0;10;2;8;0;8;80,0;2023-24;Sábado;Mañana
142;2024-06-02;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;11:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;Susana13-Irene R2;32,0;32,0;10;3;7;0;7;70,0;2023-24;Domingo;Mañana
143;2024-06-02;Curso Patinaje Básico 2 Niños;Niños Básico 2;;3;3.0;12:40;Retiro;Curva Rosaleda;David Rivas12-Guadalupe3;32,0;32,0;12;12;0;0;0;0,0;2023-24;Domingo;Mañana
144;2024-06-02;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;11:30;Retiro;Curva Rosaleda;David R12-Guada3;32,0;32,0;12;7;5;0;5;41,7;2023-24;Domingo;Mañana
145;2024-06-02;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;10:00;Retiro;Curva Rosaleda;David R12-Guada3;42,0;42,0;8;2;6;0;6;75,0;2023-24;Domingo;Mañana
146;2024-06-03;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;20:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene R;42,0;42,0;10;2;8;0;8;80,0;2023-24;Lunes;Tarde
147;2024-06-03;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;19:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene R;32,0;32,0;10;8;2;0;2;20,0;2023-24;Lunes;Tarde
148;2024-06-03;Curso Iniciación Freestyle Slalom;Freestyle Slalom;Iniciación;3;4.0;19:30;Retiro;Curva Rosaleda;Marta Águila;34,0;44,0;12;7;5;3;2;41,7;2023-24;Lunes;Tarde
149;2024-06-04;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;10:30;Retiro;Curva Rosaleda;Elena;42,0;42,0;8;5;3;0;3;37,5;2023-24;Martes;Mañana
150;2024-06-04;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;17:45;Barajas;Recinto Ferial;Vanesa;32,0;32,0;12;12;0;0;0;0,0;2023-24;Martes;Tarde
151;2024-06-05;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;19:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Paloma;42,0;42,0;12;12;0;0;0;0,0;2023-24;Miércoles;Tarde
152;2024-06-05;Curso Patinaje Básico 2 Niños;Niños Básico 2;;3;3.0;18:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Paloma;32,0;32,0;12;11;1;0;1;8,3;2023-24;Miércoles;Tarde
153;2024-06-05;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:30;Retiro;Curva Rosaleda;Juan Carlos;42,0;42,0;8;0;8;0;8;100,0;2023-24;Miércoles;Tarde
154;2024-06-06;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:20;Madrid Río;Explanada Matadero;Guadalupe13-Carolina2;42,0;42,0;8;3;5;0;5;62,5;2023-24;Jueves;Tarde
155;2024-06-06;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;18:10;Madrid Río;Explanada Matadero;Guadalupe13-Carolina2;32,0;32,0;10;4;6;0;6;60,0;2023-24;Jueves;Tarde
156;2024-06-06;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;19:30;Retiro;Curva Rosaleda;Irene D;42,0;42,0;10;8;2;0;2;20,0;2023-24;Jueves;Tarde
157;2024-06-07;Curso Iniciación Freestyle Slalom;Freestyle Slalom;Iniciación;3;4.0;18:40;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene R;34,0;44,0;16;14;2;2;0;12,5;2023-24;Viernes;Tarde
158;2024-06-07;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;18:40;San Sebastián de los Reyes;Pista Patinaje Dehesa;Paloma;32,0;32,0;12;7;5;0;5;41,7;2023-24;Viernes;Tarde
159;2024-06-08;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;2;3.0;09:50;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene R1-David O2;32,0;32,0;10;9;1;0;1;10,0;2023-24;Sábado;Mañana
160;2024-06-09;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;2;3.0;09:50;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene R1-Susana2;32,0;32,0;12;11;1;0;1;8,3;2023-24;Domingo;Mañana
161;2024-06-13;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;20:10;Barajas;Recinto Ferial;Vanesa;42,0;42,0;12;8;4;0;4;33,3;2023-24;Jueves;Tarde
162;2024-06-22;Curso Urbano Patinaje Básico;Urbano;Básico;1;2.0;10:00;San Sebastián de los Reyes;Parque De La Marina;Irene R;22,0;28,0;10;7;3;2;1;30,0;2023-24;Sábado;Mañana
163;2024-07-01;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;3.0;20:20;Retiro;Paseo De Coches;Antía;32,0;32,0;10;4;6;0;6;60,0;2023-24;Lunes;Tarde
164;2024-07-01;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;19:10;Retiro;Paseo De Coches;Antía;32,0;32,0;10;8;2;0;2;20,0;2023-24;Lunes;Tarde
165;2024-07-01;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;3.0;20:20;Madrid Río;Explanada Matadero;Alex;32,0;32,0;12;8;4;0;4;33,3;2023-24;Lunes;Tarde
166;2024-07-01;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;19:10;Madrid Río;Explanada Matadero;Alex;32,0;32,0;12;12;0;0;0;0,0;2023-24;Lunes;Tarde
167;2024-07-01;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;3.0;20:20;San Sebastián de los Reyes;Pista Patinaje Dehesa;Mabel;32,0;32,0;10;7;3;0;3;30,0;2023-24;Lunes;Tarde
168;2024-07-01;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;19:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Mabel;32,0;32,0;10;3;7;0;7;70,0;2023-24;Lunes;Tarde
169;2024-07-02;Curso Refuerzo Patinaje Medio;Refuerzo Adultos;Medio;3;3.0;20:20;Retiro;Paseo De Coches;Antía;21,0;32,0;12;7;5;4;1;41,7;2023-24;Martes;Tarde
170;2024-07-02;Curso Refuerzo Patinaje Básico;Refuerzo Adultos;Básico;3;3.0;19:10;Retiro;Paseo De Coches;Antía;21,0;32,0;12;8;4;2;2;33,3;2023-24;Martes;Tarde
171;2024-07-02;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;3.0;20:20;Madrid Río;Explanada Matadero;Alex;32,0;32,0;10;3;7;0;7;70,0;2023-24;Martes;Tarde
172;2024-07-02;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;19:10;Madrid Río;Explanada Matadero;Alex;32,0;32,0;10;5;5;0;5;50,0;2023-24;Martes;Tarde
173;2024-07-02;Curso Refuerzo Patinaje Básico;Refuerzo Adultos;Básico;3;3.0;20:20;San Sebastián de los Reyes;Pista Patinaje Dehesa;Dave;21,0;32,0;16;12;4;1;3;25,0;2023-24;Martes;Tarde
174;2024-07-02;Curso Refuerzo Patinaje Avanzado;Refuerzo Adultos;Avanzado;3;3.0;19:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Dave;21,0;32,0;16;12;4;2;2;25,0;2023-24;Martes;Tarde
175;2024-07-02;Curso Refuerzo Patinaje Experto 1;Refuerzo Adultos;Experto 1;3;3.0;20:20;Retiro;Instalación Deportiva Retiro-Poeta;Iciar;21,0;32,0;14;8;6;5;1;42,9;2023-24;Martes;Tarde
176;2024-07-02;Curso Refuerzo Patinaje Avanzado;Refuerzo Adultos;Avanzado;3;3.0;19:10;Retiro;Instalación Deportiva Retiro-Poeta;Iciar;21,0;32,0;14;2;12;11;1;85,7;2023-24;Martes;Tarde
177;2024-07-02;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;3.0;20:20;Barajas;Recinto Ferial;Vanesa;32,0;32,0;10;10;0;0;0;0,0;2023-24;Martes;Tarde
178;2024-07-02;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;19:10;Barajas;Recinto Ferial;Vanesa;32,0;32,0;10;8;2;0;2;20,0;2023-24;Martes;Tarde
179;2024-07-03;Curso Iniciación Freestyle Slalom;Freestyle Slalom;Iniciación;3;3.0;20:20;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene R;21,0;32,0;16;8;8;6;2;50,0;2023-24;Miércoles;Tarde
180;2024-07-03;Curso Refuerzo Patinaje Medio;Refuerzo Adultos;Medio;3;3.0;19:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene R;21,0;32,0;12;12;0;0;0;0,0;2023-24;Miércoles;Tarde
181;2024-07-03;Curso Refuerzo Patinaje Experto 2;Refuerzo Adultos;Experto 2;3;3.0;20:20;Retiro;Instalación Deportiva Retiro-Poeta;Javi;21,0;32,0;14;3;11;11;0;78,6;2023-24;Miércoles;Tarde
182;2024-07-03;Curso de Derrapes;Otros;Curso de Derrapes;3;3.0;19:10;Retiro;Instalación Deportiva Retiro-Poeta;Javi;21,0;32,0;14;2;12;12;0;85,7;2023-24;Miércoles;Tarde
183;2024-07-06;Curso Iniciación Patinaje Niños;Niños Iniciación;;2;2.0;11:10;Retiro;Paseo De Coches;David Rivas;27,0;27,0;10;8;2;0;2;20,0;2023-24;Sábado;Mañana
184;2024-07-06;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;2;3.0;09:30;Retiro;Paseo De Coches;David Rivas;32,0;32,0;10;1;9;0;9;90,0;2023-24;Sábado;Mañana
185;2024-07-06;Curso Urbano Patinaje Básico;Urbano;Básico;1;2.0;09:30;Juan Carlos I;Parking Auditorium;Vanesa;17,0;27,0;10;4;6;5;1;60,0;2023-24;Sábado;Mañana
186;2024-07-06;Curso Iniciación Artístico;Otros;Curso Iniciación Artístico;1;2.0;09:00;Retiro;Instalación Deportiva Retiro-Poeta;Javi;17,0;27,0;14;6;8;7;1;57,1;2023-24;Sábado;Mañana
187;2024-07-07;Curso Urbano Patinaje Medio;Urbano;Medio;1;2.0;09:30;Nuevos Ministerios;Azca;Iciar;17,0;27,0;10;9;1;1;0;10,0;2023-24;Domingo;Mañana
188;2024-07-07;Curso Iniciación Pumptrack Niños;Niños Disciplinas;Pumptrack;1;1.0;10:30;Torrejón De Ardoz;Parque Del Ocio;Alex;10,0;17,0;10;8;2;2;0;20,0;2023-24;Domingo;Mañana
189;2024-07-10;Curso Patinaje Urbano Niños;Niños Disciplinas;Urbano;1;1.0;19:10;San Sebastián de los Reyes;Parque De La Marina;Elena;10,0;17,0;10;7;3;0;3;30,0;2023-24;Miércoles;Tarde
190;2024-07-11;Curso Rollerdance Iniciación;Rollerdance;Iniciación;1;2.0;19:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;Elena;17,0;27,0;16;5;11;9;2;68,8;2023-24;Jueves;Tarde
191;2024-07-13;Curso Patinaje Básico Niños;Niños Básico 1;;2;2.0;11:10;Retiro;Paseo De Coches;David Rivas;27,0;27,0;12;12;0;0;0;0,0;2023-24;Sábado;Mañana
192;2024-07-13;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;2;3.0;11:10;Retiro;Paseo De Coches;David Rivas;32,0;32,0;12;6;6;0;6;50,0;2023-24;Sábado;Mañana
193;2024-07-13;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;2;3.0;09:30;Retiro;Paseo De Coches;David Rivas;32,0;32,0;12;1;11;0;11;91,7;2023-24;Sábado;Mañana
194;2024-07-13;Curso Refuerzo Patinaje Medio;Refuerzo Adultos;Medio;2;3.0;11:00;Retiro;Paseo De Coches;Alex;21,0;32,0;12;12;0;0;0;0,0;2023-24;Sábado;Mañana
195;2024-07-13;Curso Refuerzo Patinaje Básico;Refuerzo Adultos;Básico;2;3.0;09:20;Retiro;Paseo De Coches;Alex;21,0;32,0;12;11;1;1;0;8,3;2023-24;Sábado;Mañana
196;2024-07-13;Curso Iniciación Patinaje Niños;Niños Iniciación;;2;2.0;11:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Marta March;27,0;27,0;10;5;5;0;5;50,0;2023-24;Sábado;Mañana
197;2024-07-13;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;2;3.0;09:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;Marta March;32,0;32,0;10;8;2;0;2;20,0;2023-24;Sábado;Mañana
198;2024-07-13;Curso Iniciación Hockey;Hockey;Iniciación;1;2.0;09:00;Retiro;Instalación Deportiva Retiro-Poeta;Javi;17,0;27,0;14;7;7;5;2;50,0;2023-24;Sábado;Mañana
199;2024-07-14;Curso Iniciación Hockey Niños;Niños Disciplinas;Hockey;1;1.0;10:00;Retiro;Instalación Deportiva Retiro-Poeta;Javi;10,0;17,0;14;14;0;0;0;0,0;2023-24;Domingo;Mañana
200;2024-07-15;Curso Refuerzo Patinaje Medio;Refuerzo Adultos;Medio;3;3.0;20:20;Retiro;Paseo De Coches;Antía;32,0;32,0;12;6;6;4;2;50,0;2023-24;Lunes;Tarde
201;2024-07-15;Curso Refuerzo Patinaje Básico;Refuerzo Adultos;Básico;3;3.0;19:10;Retiro;Paseo De Coches;Antía;21,0;32,0;12;11;1;1;0;8,3;2023-24;Lunes;Tarde
202;2024-07-15;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;3.0;20:20;Retiro;Paseo De Coches;Juan Carlos;32,0;32,0;12;8;4;0;4;33,3;2023-24;Lunes;Tarde
203;2024-07-15;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;19:10;Retiro;Paseo De Coches;Juan Carlos;32,0;32,0;12;11;1;0;1;8,3;2023-24;Lunes;Tarde
204;2024-07-15;Curso Patinaje en Cuestas Med/Avz;Cuestas;Med/avz;3;3.0;20:20;Juan Carlos I;Parking Auditorium;Iciar;32,0;32,0;10;1;9;9;0;90,0;2023-24;Lunes;Tarde
205;2024-07-15;Curso Patinaje en Cuestas Bás/Med;Cuestas;Bás/med;3;3.0;19:10;Juan Carlos I;Parking Auditorium;Iciar;32,0;32,0;10;8;2;2;0;20,0;2023-24;Lunes;Tarde
206;2024-07-15;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;3.0;20:20;Madrid Río;Explanada Matadero;Alex;32,0;32,0;10;3;7;0;7;70,0;2023-24;Lunes;Tarde
207;2024-07-15;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;19:10;Madrid Río;Explanada Matadero;Alex;32,0;32,0;10;5;5;0;5;50,0;2023-24;Lunes;Tarde
208;2024-07-15;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;3.0;20:20;San Sebastián de los Reyes;Pista Patinaje Dehesa;Marta March;32,0;32,0;12;4;8;0;8;66,7;2023-24;Lunes;Tarde
209;2024-07-15;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;19:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Marta March;32,0;32,0;12;8;4;0;4;33,3;2023-24;Lunes;Tarde
210;2024-07-15;Curso Hockey Tecnificación;Hockey;Tecnificación;3;3.0;20:20;Retiro;Instalación Deportiva Retiro-Poeta;Javi;32,0;32,0;14;1;13;13;0;92,9;2023-24;Lunes;Tarde
211;2024-07-15;Curso Iniciación Hockey;Hockey;Iniciación;3;3.0;19:10;Retiro;Instalación Deportiva Retiro-Poeta;Javi;32,0;32,0;14;7;7;7;0;50,0;2023-24;Lunes;Tarde
212;2024-07-16;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;3.0;20:20;Retiro;Paseo De Coches;Juan Carlos;32,0;32,0;10;9;1;0;1;10,0;2023-24;Martes;Tarde
213;2024-07-16;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;19:10;Retiro;Paseo De Coches;Juan Carlos;32,0;32,0;10;6;4;0;4;40,0;2023-24;Martes;Tarde
214;2024-07-16;Curso Refuerzo Patinaje Básico;Refuerzo Adultos;Básico;3;3.0;20:20;Madrid Río;Explanada Matadero;Alex;32,0;32,0;12;9;3;1;2;25,0;2023-24;Martes;Tarde
215;2024-07-16;Curso Refuerzo Patinaje Medio;Refuerzo Adultos;Medio;3;3.0;19:10;Madrid Río;Explanada Matadero;Alex;32,0;32,0;12;7;5;5;0;41,7;2023-24;Martes;Tarde
216;2024-07-16;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;3.0;20:20;San Sebastián de los Reyes;Pista Patinaje Dehesa;Vanesa;32,0;32,0;10;9;1;0;1;10,0;2023-24;Martes;Tarde
217;2024-07-16;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;19:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Vanesa;32,0;32,0;10;3;7;1;6;70,0;2023-24;Martes;Tarde
218;2024-07-16;Curso Tecnificación Fs. Slalom;Freestyle Slalom;Tecnificación;3;3.0;20:20;Retiro;Instalación Deportiva Retiro-Poeta;Antía;32,0;32,0;16;6;10;10;0;62,5;2023-24;Martes;Tarde
219;2024-07-16;Curso Iniciación Freestyle Slalom;Freestyle Slalom;Iniciación;3;3.0;19:10;Retiro;Instalación Deportiva Retiro-Poeta;Antía;32,0;32,0;16;9;7;7;0;43,8;2023-24;Martes;Tarde
220;2024-07-16;Curso Iniciación Patinaje Velocidad;Velocidad;Iniciación;3;3.0;20:20;Metropolitano;Parking Exterior;David Rivas;32,0;32,0;14;6;8;8;0;57,1;2023-24;Martes;Tarde
221;2024-07-16;Curso Tecnificación Pat. Velocidad;Velocidad;Tecnificación;3;3.0;19:10;Metropolitano;Parking Exterior;David Rivas;32,0;32,0;14;6;8;8;0;57,1;2023-24;Martes;Tarde
222;2024-07-20;Curso Urbano Patinaje Medio;Urbano;Medio;1;2.0;09:30;Retiro;Paseo De Coches;David Rivas;27,0;27,0;10;0;10;10;0;100,0;2023-24;Sábado;Mañana
223;2024-07-20;Curso Iniciación Patinaje Niños;Niños Iniciación;;2;2.0;11:10;Retiro;Paseo De Coches;Alex;27,0;27,0;10;8;2;0;2;20,0;2023-24;Sábado;Mañana
224;2024-07-20;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;2;3.0;09:30;Retiro;Paseo De Coches;Alex;32,0;32,0;10;4;6;0;6;60,0;2023-24;Sábado;Mañana
225;2024-07-20;Curso Patinaje Básico Niños;Niños Básico 1;;2;2.0;11:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Marta March;27,0;27,0;12;11;1;0;1;8,3;2023-24;Sábado;Mañana
226;2024-07-20;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;2;3.0;09:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Marta March;32,0;32,0;12;9;3;0;3;25,0;2023-24;Sábado;Mañana
227;2024-07-20;Curso Iniciación al Skatepark;Otros;Curso Iniciación al Skatepark;1;2.0;08:30;Vallecas;Skate Park Vallecas. Parque Navamures;Javi;17,0;27,0;10;6;4;4;0;40,0;2023-24;Sábado;Mañana
228;2024-07-21;Curso Urbano Patinaje Básico;Urbano;Básico;1;2.0;09:30;Retiro;Paseo De Coches;David Rivas;27,0;27,0;10;4;6;6;0;60,0;2023-24;Domingo;Mañana
229;2024-07-21;Curso Urbano Patinaje Avanzado;Urbano;Avanzado;1;2.0;09:30;Nuevos Ministerios;Azca;Javi;27,0;27,0;10;5;5;5;0;50,0;2023-24;Domingo;Mañana
230;2024-09-02;Curso Iniciación Freestyle Slalom;Freestyle Slalom;Iniciación;3;4.0;20:10;Retiro;Paseo De Coches;Marta Águila;29,0;42,0;16;8;8;8;0;50,0;2024-25;Lunes;Tarde
231;2024-09-02;Curso Refuerzo Patinaje Básico;Refuerzo Adultos;Básico;3;4.0;18:50;Retiro;Paseo De Coches;Marta Águila;29,0;42,0;12;3;9;5;4;75,0;2024-25;Lunes;Tarde
232;2024-09-02;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;20:10;Madrid Río;Explanada Matadero;David Rivas;29,0;42,0;10;7;3;0;3;30,0;2024-25;Lunes;Tarde
233;2024-09-02;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;19:00;Madrid Río;Explanada Matadero;David Rivas;21,0;32,0;10;6;4;0;4;40,0;2024-25;Lunes;Tarde
234;2024-09-02;Curso de Derrapes;Otros;Curso de Derrapes;3;4.0;20:10;Retiro;Instalación Deportiva Retiro-Poeta;Javi;29,0;42,0;14;2;12;12;0;85,7;2024-25;Lunes;Tarde
235;2024-09-02;Curso Iniciación Hockey Niños;Niños Disciplinas;Hockey;3;3.0;19:00;Retiro;Instalación Deportiva Retiro-Poeta;Javi;21,0;32,0;14;11;3;3;0;21,4;2024-25;Lunes;Tarde
236;2024-09-03;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;20:10;Retiro;Paseo De Coches;Juan Carlos;29,0;42,0;10;7;3;1;2;30,0;2024-25;Martes;Tarde
237;2024-09-03;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;18:50;Retiro;Paseo De Coches;Juan Carlos;29,0;42,0;12;12;0;0;0;0,0;2024-25;Martes;Tarde
238;2024-09-03;Curso Iniciación Patinaje Velocidad;Velocidad;Iniciación;3;4.0;20:10;Metropolitano;Parking Exterior;David Rivas;29,0;42,0;14;9;5;5;0;35,7;2024-25;Martes;Tarde
239;2024-09-07;Curso Iniciación Patinaje Niños;Niños Iniciación;;2;2.0;11:10;Retiro;Paseo De Coches;David Rivas;15,0;22,0;10;1;9;0;9;90,0;2024-25;Sábado;Mañana
240;2024-09-07;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;2;3.0;09:30;Retiro;Paseo De Coches;David Rivas;21,0;32,0;10;5;5;0;5;50,0;2024-25;Sábado;Mañana
241;2024-09-07;Curso Urbano Patinaje Medio;Urbano;Medio;1;2.0;09:30;Parque Tierno Galván;Planetario De Madrid;Javi;17,0;27,0;10;1;9;9;0;90,0;2024-25;Sábado;Mañana
242;2024-09-08;Curso Iniciación Hockey;Hockey;Iniciación;1;2.0;09:30;Retiro;Instalación Deportiva Retiro-Poeta;Javi;17,0;27,0;14;13;1;0;1;7,1;2024-25;Domingo;Mañana
243;2024-09-14;Curso Patinaje Básico Niños;Niños Básico 1;;2;2.0;11:10;Retiro;Paseo De Coches;David Rivas;15,0;22,0;12;3;9;0;9;75,0;2024-25;Sábado;Mañana
244;2024-09-14;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;2;3.0;09:30;Retiro;Paseo De Coches;David Rivas;21,0;32,0;12;4;8;1;7;66,7;2024-25;Sábado;Mañana
245;2024-09-14;Curso Urbano Patinaje Básico;Urbano;Básico;1;2.0;09:30;Nuevos Ministerios;Azca;Marta Aguila;17,0;27,0;10;5;5;5;0;50,0;2024-25;Sábado;Mañana
